id,url,date,keywords,mentions,lead,sentiment_raw,sentiment_label
666746,https://www.rtvslo.si/sport/nogomet/lahko-bi-se-kaj-dogovorili-z-dragonsi/666746,2023-05-09 19:00:00,"ženski nogomet, Ana Milović, ŽNK Olimpija, finale pokala",,"Ana Milović, zadnja leta prva strelka ženskega državnega nogometnega prvenstva, poudarja, da je že moški nogomet pri nas zapostavljen, ženski pa sploh. ""Vsi treniramo isto, finančno pa je velika razlika.""",0.0,neutral
667574,https://www.rtvslo.si/sport/zimski-sporti/smrekar-ob-100-letnici-szs-ja-napovedal-kandidaturo-za-nordijski-sp-2031/667574,2023-05-09 20:47:00,"SZS, Smučarska zveza Slovenije, 100 let","Enzo Smrekar, Toni Cahunek, Ilka Štuhec, Žan Kranjec, Jakov Fak, Gloria Kotnik, Tim Mastnak, Rok Marguč, Ema Klinec,  Nika Križnar, Urša Bogataj, Nika Prevc, Timi Zajc, Anže Lanišek, Žiga Jelar, Domen Prevc, Lovrom Kosom, Žigo Jelarjem","Smučarska zveza Slovenije praznuje 100 let od svoje ustanovitve. Ob slavnostnem jubileju so se na Gospodarskem razstavišču v Ljubljani zbrali člani te velike družine, kot so Ilka Štuhec, Timi Zajc, Jakov Fak ...",0.0,neutral
667371,https://www.rtvslo.si/sport/zimski-sporti/svetovni-pokal-v-biatlonu/simon-fourcade-bo-vodil-francoske-biatlonce/667371,2023-05-08 10:47:00,"biatlon, Simon Fourcade, svetovni pokal",,"Simon Fourcade bo novi selektor francoske moške biatlonske reprezentance, je direktor zveze Stephane Bouthiaux potrdil v pogovoru za časopis Dauphine.",0.0,neutral
667865,https://www.rtvslo.si/sport/hokej/liga-nhl/carolina-kot-prva-v-konferencnem-finalu/667865,2023-05-12 07:42:00,"hokej, NHL, Carolina Raleigh","Jesper Fast, Roope Hintz, Jason Robertson, Joe Pavelski","Jesper Fast je s preusmerjenim ploščkom v podaljšku osrečil Carolino, ki je s 3:2 na peti tekmi izločila New Jersey. Hurikani so s s 4:1 v zmagah postali prvi udeleženci konferenčnih finalov v letošnjem boju za Stanleyjev pokal.",0.0,neutral
670556,https://www.rtvslo.si/sport/rekreacija/za-boljse-ucne-uspehe-strokovnjaki-svetujejo-vec-gibanja/670556,2023-06-03 17:14:48,"gibanje, otroci, rekreacija",Gregor Starc,"Rezultati raziskav kažejo, da gibalno dejavnejši otroci v šoli dosegajo boljše rezultate, zato strokovnjaki poudarjajo pomen gibanja otrok.",0.0,neutral
673817,https://www.rtvslo.si/sport/preostali-sporti/tyra-barada-osvojila-zlato-in-srebrno-medaljo-srebro-tudi-za-ursko-gazvoda-in-tino-baloh/673817,2023-07-02 13:13:31,"kikboks, Tyra Barada, evropske igre, Urška Gazvoda, Tina Baloh","Federici Trovalusci,  Tina Baloh","Slovenska tekmovalka v kikboksu Tyra Barada je na evropskih igrah na Poljskem najprej osvojila srebro v boju na točke, nato pa še zlato v kategoriji do 50 kilogramov.",0.0,neutral
674090,https://www.rtvslo.si/sport/kolesarstvo/dirka-po-franciji/govekar-pospesek-van-der-poela-odlocilen-za-novo-zmago-philipsena/674090,2023-07-04 22:00:20,"Dirka po Franciji, Jasper Philipsen, Matej Mohorič, Matevž Govekar, podkast, Tour 202, podkast Tour 202","Matevž Govekar, Matej Mohorič, Phil Bauhaus, Radoju Miliću, Igorjem Tomincem,  Luko Petričem,  Tadej Pogačar, Primož Roglič",Nov sprint in nova zmaga Jasperja Philipsena na Dirki po Franciji. Tudi tokrat mu je do ciljne črte pomagala ekipa. Preostale so imele obilo težav ob številnih padcih na zavitih ovinkih dirkališča Paula Armagnaca.,0.0,neutral
676734,https://www.rtvslo.si/sport/nogomet/fabinho-zamenjal-liverpool-za-al-itihad-mane-novi-soigralec-ronalda/676734,2023-08-01 09:44:21,"Liverpool, savdski nogomet, Fabinho, Al Itihad",Sadio Mané,"Nogometni eksodus v Savdsko Arabijo se nadaljuje. Fabinho je naslednji znani nogometaš, ki zapušča Premier ligo v zameno za bajno naftno plačilo. 29-letni reprezentant Brazilije je Liverpool zamenjal za Al Itihad, s katerim je sklenil triletno pogodbo.",0.0,neutral
677030,https://www.rtvslo.si/sport/kosarka/sp-v-kosarki-2023/itudis-dogovor-da-postanem-selektor-slovenije-je-bil-zelo-blizu/677030,2023-08-04 10:27:05,"Dimitris Itudis, SP v košarki, Luka Dončić","Željka Obradovića, Aleksander Sekulić,  Nikosa Galisa, Janisa Andetokumba,,  Luka Dončić,, Rado Trifunović","Dimitris Itudis, ki je trenutno eden najbolj cenjenih košarkarskih trenerjev v Evropi, je bil pred tremi leti glavni kandidat za prevzem slovenske reprezentance, toda do dogovora ni prišlo, zdaj pa je selektor svoje domovine Grčije. ",0.0,neutral
677660,https://www.rtvslo.si/sport/rekreacija/zdravje-ohranjamo-ze-z-nekaj-tisoc-koraki-na-dan/677660,2023-08-10 10:07:23,"rekreacija, hoja, koraki",,"Dolgo je veljalo, da je 10.000 korakov na dan način za to, da ostanemo zdravi, vendar nova študija kaže, da koristi prinaša že manj kot 5000 korakov.",0.0,neutral
