id,sport,original_sport,confidence,conf_gap
763792,Kolesarstvo,Drugo,0.0991,0.0
720626,Športno plezanje,Drugo,0.1103,0.0
717748,Drugo,Drugo,0.1181,0.0
773442,Alpsko smučanje,Drugo,0.1233,0.0
746616,Drugo,Drugo,0.1254,0.0
744063,Kolesarstvo,Drugo,0.1334,0.0
714294,Košarka,Drugo,0.1381,0.0
740097,Košarka,Drugo,0.1427,0.0
716847,Atletika,Drugo,0.1436,0.0
718067,Nogomet,Drugo,0.1437,0.0
718224,Nogomet,Drugo,0.1448,0.0
767741,Nogomet,Drugo,0.1454,0.0
724899,Kolesarstvo,Drugo,0.1461,0.0
673786,Košarka,Drugo,0.1502,0.0
670568,Tenis,Drugo,0.1525,0.0
769865,Smučarski skoki,Drugo,0.1525,0.0
706074,Drugo,Drugo,0.1554,0.0
673167,Nogomet,Drugo,0.1558,0.0
711465,Nogomet,Drugo,0.161,0.0
761927,Biatlon,Drugo,0.1623,0.0
721678,Košarka,Drugo,0.163,0.0
726048,Drugo,Drugo,0.1648,0.0
761816,Nogomet,Drugo,0.1648,0.0
674325,Smučarski skoki,Drugo,0.1672,0.0
757804,Nogomet,Drugo,0.1679,0.0
733749,Nogomet,Drugo,0.1693,0.0
754111,Nogomet,Drugo,0.1706,0.0
667000,Drugo,Drugo,0.1722,0.0
692759,Nogomet,Drugo,0.1725,0.0
723766,Kolesarstvo,Drugo,0.1748,0.0
759929,Kolesarstvo,Drugo,0.1759,0.0
693286,Kolesarstvo,Drugo,0.1787,0.0
703967,Smučarski skoki,Drugo,0.1788,0.0
741702,Nogomet,Drugo,0.1792,0.0
746355,Nogomet,Drugo,0.1793,0.0
777526,Nogomet,Drugo,0.1794,0.0
704596,Kolesarstvo,Drugo,0.1829,0.0
717208,Drugo,Drugo,0.1831,0.0
772934,Alpsko smučanje,Drugo,0.1833,0.0
758691,Kolesarstvo,Drugo,0.1848,0.0
673711,Košarka,Drugo,0.1854,0.0
721180,Nogomet,Drugo,0.1855,0.0
735706,Košarka,Drugo,0.186,0.0
770571,Nogomet,Drugo,0.1866,0.0
750335,Košarka,Drugo,0.1872,0.0
666544,Nogomet,Drugo,0.1875,0.0
678953,Kolesarstvo,Drugo,0.1879,0.0
762408,Biatlon,Drugo,0.1879,0.0
732165,Alpsko smučanje,Drugo,0.1883,0.0
771759,Nogomet,Drugo,0.1889,0.0
684590,Drugo,Drugo,0.1898,0.0
773927,Alpsko smučanje,Drugo,0.1919,0.0
671614,Atletika,Drugo,0.1921,0.0
750644,Kolesarstvo,Drugo,0.1921,0.0
730169,Kolesarstvo,Drugo,0.1921,0.0
754263,Nogomet,Drugo,0.1927,0.0
691672,Nogomet,Drugo,0.1932,0.0
673443,Košarka,Drugo,0.1942,0.0
759955,Košarka,Drugo,0.195,0.0
693231,Nogomet,Drugo,0.1953,0.0
666877,Nogomet,Drugo,0.1958,0.0
714227,Drugo,Drugo,0.1973,0.0
720820,Nogomet,Drugo,0.1973,0.0
755940,Kolesarstvo,Drugo,0.1979,0.0
694142,Nogomet,Drugo,0.1985,0.0
763244,Košarka,Drugo,0.1986,0.0
761545,Nogomet,Drugo,0.1986,0.0
729587,Košarka,Drugo,0.1991,0.0
674326,Nogomet,Drugo,0.2012,0.0
731898,Košarka,Drugo,0.2026,0.0
670386,Nogomet,Drugo,0.203,0.0
726366,Kolesarstvo,Drugo,0.203,0.0
733733,Kolesarstvo,Drugo,0.2035,0.0
667203,Nogomet,Drugo,0.2041,0.0
732627,Nogomet,Drugo,0.205,0.0
773392,Alpsko smučanje,Drugo,0.2058,0.0
693699,Košarka,Drugo,0.2059,0.0
757362,Košarka,Drugo,0.2061,0.0
725398,Kolesarstvo,Drugo,0.2079,0.0
692872,Alpsko smučanje,Drugo,0.208,0.0
685975,Kolesarstvo,Drugo,0.2082,0.0
744330,Tenis,Drugo,0.2085,0.0
735933,Nogomet,Drugo,0.2086,0.0
707106,Hokej na ledu,Drugo,0.2087,0.0
745647,Kolesarstvo,Drugo,0.2087,0.0
693201,Nogomet,Drugo,0.209,0.0
758584,Nogomet,Drugo,0.209,0.0
673567,Nogomet,Drugo,0.2092,0.0
691906,Smučarski skoki,Drugo,0.2094,0.0
759199,Nogomet,Drugo,0.2106,0.0
702138,Nogomet,Drugo,0.2107,0.0
